card_type,issuing_bank,card_number,issue_date,expiry_date,billing_date,credit_limit
Japan Credit Bureau,JCB,3574738975447650,42614,49553,10,20800
Visa,Chase,4774198615153070,40848,43405,3,172200
Discover,Discover,6011535043157250,41000,45748,20,163000
Discover,Discover,6011836075743730,41883,46266,8,149300
Diners Club International,Diners Club,30402851447997,41122,47696,23,193800
Master Card,Chase,5392150478741130,40848,43405,19,179400
Visa,Chase,4784932203952520,42979,47727,27,26100
Diners Club International,Diners Club,30448626795350,40269,45383,25,198600
Discover,Discover,6011519420357330,40452,45931,22,191500
Discover,Discover,6447446641812800,40544,46388,13,168800
Master Card,Chase,5339106149125400,39448,44562,16,134600
American Express,American Express,378183608833362,39539,46113,5,91800
Japan Credit Bureau,JCB,3544903299076190,39387,45597,9,139000
Visa,Capital One,4020907543699650,40878,42339,5,68000
American Express,American Express,379977215915887,42705,45627,28,97300
American Express,American Express,346314625690837,43009,46296,9,106000
Discover,Discover,6449481230531530,39508,42795,4,25400
Visa,Cabela’s WFB,4157601372759150,42767,45689,3,128500
American Express,USAA,341280596307211,41974,45261,9,137900
Visa,First National,4622723306680310,42125,49065,1,74700
Master Card,Chase,5415680296436590,42644,48853,23,114300
American Express,American Express,377304324167304,43040,43770,28,51300
Visa,Chase,4172967333361710,39814,41275,20,44300
Visa,Bank of America,4761535544019810,42125,46143,26,62400
American Express,American Express,376503301184189,40148,41609,25,103000
Diners Club International,Diners Club,30431905324423,39539,45017,21,130200
Master Card,Bank of America,5263165646203040,41821,46204,4,175300
Japan Credit Bureau,JCB,3575562897132980,39661,40756,22,49800
Discover,Discover,6471359264267540,41671,47515,17,176600
Visa,Capital One,4367151316744500,40026,46600,20,158100
American Express,American Express,378337835936840,41395,42125,12,130400
American Express,American Express,349924459581865,41275,46023,15,58300
Diners Club International,Diners Club,30359015564564,40634,46844,26,180400
Master Card,Chase,5392673553203120,42826,45748,3,187800
Discover,Discover,6011666476140620,41091,48030,14,91000
American Express,American Express,346608584812468,39845,43497,13,108200
Discover,Discover,6011854155563580,42461,49400,1,163000
American Express,U.S. Bancorp,375639400150803,40422,43709,12,141500
Master Card,Chase,5227240157527040,42887,45809,1,151100
Discover,Discover,6222941700560790,39995,41091,17,63900
Diners Club International,Diners Club,39158335668621,41579,45962,12,13200
American Express,American Express,374806506263472,40634,46113,1,30000
Japan Credit Bureau,JCB,3536659277963310,43070,50010,15,36900
Diners Club International,Diners Club,30373152892464,41122,41487,2,189300
Discover,Discover,6223694695943210,43009,49949,19,176300
Visa,Chase,4165597206098260,41122,46966,25,121900
American Express,Bank of America,371838785316765,40695,43617,7,41900
Diners Club International,Diners Club,30984247427452,41579,44866,27,40900
Japan Credit Bureau,JCB,3560225528660670,41913,47757,10,45000
Diners Club International,Diners Club,30179589616743,40238,44621,6,129900
American Express,U.S. Bancorp,343674346274366,40483,40848,7,103000
Master Card,Chase,5460901443214240,39722,43739,12,15900
American Express,American Express,341982045814321,40360,45474,13,143600
Japan Credit Bureau,JCB,3536592851817480,39873,44256,25,143100
Diners Club International,Diners Club,30119481973461,40664,47604,5,80000
Discover,Discover,6011431896675040,41214,48153,14,39400
Japan Credit Bureau,JCB,3561489438284900,41091,46935,12,36400
Diners Club International,Diners Club,30990556966931,41395,42125,17,84700
Visa,Chase,4151542376203640,41000,42461,2,177500
Master Card,Chase,5203920566911430,41852,49157,9,174900
Master Card,Citibank,5440657304818620,40940,46054,28,168300
Master Card,USAA,5414061421182430,42064,46082,17,163400
Japan Credit Bureau,JCB,3571636721717840,41883,47362,2,85900
Visa,Bank of America,4659040963503260,39114,41671,1,66000
Diners Club International,Diners Club,30364144760737,42005,48580,27,94300
Japan Credit Bureau,JCB,3575074236730070,41852,44774,20,175600
Diners Club International,Diners Club,30352163437014,40087,45931,21,121100
Discover,Discover,6553481612776120,42948,48427,12,94300
Discover,Discover,6011440326990470,40238,42064,16,76100
American Express,American Express,345813133025817,41244,42339,2,77500
Japan Credit Bureau,JCB,3564774275851720,40422,43709,15,168500
American Express,American Express,378958138158699,39783,44531,27,190600
Diners Club International,Diners Club,30278900161627,41306,43132,19,169100
Diners Club International,Diners Club,30998429399156,42644,48488,7,33800
Diners Club International,Diners Club,30121986322426,41426,45809,22,172300
Visa,U.S. Bancorp,4650568942032360,40848,45597,20,146000
Master Card,Chase,5227669499543190,39661,45870,16,88400
Japan Credit Bureau,JCB,3541399658680120,41365,47574,8,137300
American Express,American Express,340092457113419,40210,46784,16,40600
Master Card,Bank of America,5201009960574060,39114,40940,27,144900
Visa,Citibank,4111931972502660,42005,44562,14,33600
American Express,American Express,379514032056577,40148,44896,5,146000
Discover,Discover,6011898088890260,42248,48823,24,174300
Japan Credit Bureau,JCB,3586858804698680,41426,42522,26,17000
Visa,Chase,4648676460936980,42461,47939,28,171300
Japan Credit Bureau,JCB,3536124099948290,39934,47239,16,80300
Diners Club International,Diners Club,30293431838304,39630,40725,14,181700
Master Card,Chase,5306287177053590,42583,48427,11,147000
Visa,Wells Fargo,4222857554898680,42583,49157,21,191000
Visa,Citibank,4215774835080510,41000,47574,22,166800
Japan Credit Bureau,JCB,3532246173348890,42064,47908,4,187400
Discover,Discover,6227086088622580,41640,44562,14,149000
Diners Club International,Diners Club,30007851104041,39417,41244,3,130000
Diners Club International,Diners Club,30305273945649,41183,41913,17,122500
Diners Club International,Diners Club,36158256935895,42156,46174,23,149400
Japan Credit Bureau,JCB,3568482640857720,40695,47270,27,13800
American Express,U.S. Bancorp,375076508489157,41214,43405,8,197000
Visa,Chase,4175140571120350,40330,47270,11,183500
Japan Credit Bureau,JCB,3534589371895740,40057,42979,23,189000
Japan Credit Bureau,JCB,3567763615938000,41456,46204,16,61500
Visa,Chase,4656477942045550,41214,48519,18,160000
Master Card,Bank of America,5122899272356320,39753,46692,20,17200
American Express,American Express,373902420844777,40817,47392,5,181400
Visa,U.S. Bancorp,4996538562159280,42248,46997,26,190800
Diners Club International,Diners Club,30020773990462,42644,44105,4,50600
Japan Credit Bureau,JCB,3539815245396940,41821,46935,17,92400
Visa,Chase,4721890279163040,41456,48761,4,148800
Visa,Citibank,4842967986652820,42401,45323,5,68800
Japan Credit Bureau,JCB,3583899946794100,41091,45108,11,33000
Discover,Discover,6011281736811980,39114,43862,21,81100
Diners Club International,Diners Club,30295265085084,41760,43952,27,74300
Master Card,Citibank,5197208919909930,40452,41548,11,46200
Diners Club International,Diners Club,30434335906751,41122,42948,10,15200
Visa,Barclays,4203399590015700,42217,44409,7,173300
Discover,Discover,6226329719300800,40452,43739,21,144400
Japan Credit Bureau,JCB,3570139035074610,40118,46327,14,19800
Discover,Discover,6011368769127880,39479,41671,6,153600
Japan Credit Bureau,JCB,3572798463205260,41000,41365,4,14900
Master Card,Bank of America,5408301982156080,41518,44075,11,151900
Japan Credit Bureau,JCB,3541138336621240,40148,46357,9,99600
Visa,Chase,4172769926850890,41730,42095,18,140500
Discover,Discover,6560870077397580,40575,45323,9,125100
Visa,Chase,4458617673183050,40513,45261,5,49800
Visa,USAA,4968195542377020,40969,47543,15,104300
American Express,U.S. Bancorp,378990688103981,39479,41306,20,70100
Visa,Barclays,4281924230476700,40909,46023,15,37900
American Express,American Express,341377778281915,43070,50375,13,77400
Japan Credit Bureau,JCB,3567878204237830,40695,47270,21,168300
Visa,USAA,4084838539924370,43009,43374,17,158500
American Express,American Express,349183223184858,39264,44013,3,183900
Master Card,Wells Fargo,5231638173293010,42095,45017,21,170800
Master Card,Capital One,5134032847105080,42125,46143,14,194700
Japan Credit Bureau,JCB,3579008178752060,41821,48396,6,198300
Visa,First National,4637156682400880,39753,45962,9,184700
Japan Credit Bureau,JCB,3553720844492850,39142,39508,6,12400
Master Card,Capital One,5144032518973850,42826,44287,18,107800
Visa,Chase,4115058592649190,39295,44409,14,96100
Japan Credit Bureau,JCB,3570500740161500,41883,48823,4,119100
Visa,Chase,4646030562860200,40299,43221,26,151300
Japan Credit Bureau,JCB,3583021532772810,39479,45323,5,15600
Discover,Discover,6011795378908000,40940,44228,8,110700
Master Card,Bank of America,5267755939177260,41609,45992,3,130000
Japan Credit Bureau,JCB,3571531647984650,39845,43497,9,152200
Visa,GE Capital,4303713736681920,39539,41730,21,194200
Discover,Discover,6586865255134410,42644,43374,1,139500
American Express,American Express,343242788096299,39083,44927,16,174500
Discover,Discover,6011450296722110,40087,40452,1,158300
American Express,American Express,340598816558920,41091,44378,25,165900
Visa,Cabela’s WFB,4099480509923970,43070,50010,5,117000
Discover,Discover,6222335024372080,39630,45839,9,155200
Diners Club International,Diners Club,39677431375831,42522,44348,16,70700
Visa,Citibank,4272250810798490,40330,46905,14,81100
Visa,Chase,4517204037011350,40269,42826,1,184800
American Express,American Express,372110776919885,39995,40360,4,102400
Diners Club International,Diners Club,36098235741933,42583,49157,11,43600
Visa,U.S. Bancorp,4719448314770830,39173,39539,5,116500
Master Card,Chase,5166541157147060,40118,47058,5,98000
Visa,Cabela’s WFB,4995285201852000,41214,48519,20,138300
American Express,USAA,371143519355720,39995,42552,2,193700
Visa,Citibank,4491482868384940,39661,41122,1,90000
Diners Club International,Diners Club,36239058208424,43040,43770,24,94800
Visa,Chase,4949184397675470,42583,49888,25,199500
Master Card,Bank of America,5433253574059670,42339,43800,28,166800
Japan Credit Bureau,JCB,3549421709355220,39661,45870,17,195800
Japan Credit Bureau,JCB,3570539534605720,40210,43132,18,167800
Master Card,Citibank,5388042996237190,40940,43132,15,56500
Diners Club International,Diners Club,30223841399571,42309,42675,14,198800
Japan Credit Bureau,JCB,3566684295459940,40210,43497,2,64200
Discover,Discover,6011635040233120,39630,44743,9,119700
Visa,U.S. Bancorp,4184532246624170,40238,42430,4,67400
Japan Credit Bureau,JCB,3528081401902200,40483,47423,3,193300
Discover,Discover,6011051708036820,39479,44593,13,84600
Master Card,Citibank,5442257732999550,39203,46143,13,142300
Master Card,Bank of America,5305711224716830,40330,43617,6,63900
Japan Credit Bureau,JCB,3564070148746360,42583,44409,6,185100
Master Card,Wells Fargo,5164526408016600,41671,48976,2,107300
American Express,Bank of America,375198722257267,40330,40695,25,35200
Diners Club International,Diners Club,30544536906713,40238,44256,21,117100
Japan Credit Bureau,JCB,3565096966470190,39814,43831,6,33900
Japan Credit Bureau,JCB,3556660352451640,39387,39753,23,52300
Diners Club International,Diners Club,30924575372276,40878,47818,1,163300
Diners Club International,Diners Club,30283761998489,41487,44774,14,107200
American Express,U.S. Bancorp,376228574611169,43009,48122,13,186800
Visa,U.S. Bancorp,4887712648813490,41000,42826,11,51400
Japan Credit Bureau,JCB,3562889866089680,39934,42856,14,162500
Master Card,Capital One,5368074258505760,41275,43101,1,124400
Visa,Chase,4436414277969730,40787,48092,8,175800
Visa,Chase,4089791613809260,40391,41852,14,81300
Japan Credit Bureau,JCB,3572564255852000,42675,47058,11,129600
Master Card,Citibank,5499455080075420,39417,43070,12,119500
Discover,Discover,6223185071759710,41944,48153,17,178600
Diners Club International,Diners Club,30118403899390,40391,44774,16,151100
Japan Credit Bureau,JCB,3543644632498780,42461,46478,25,174800
Master Card,U.S. Bancorp,5316212005811220,40179,46023,23,89200
Discover,Discover,6011228825131870,41883,48458,22,110600
American Express,American Express,370724168627773,41214,45962,20,166200
Diners Club International,Diners Club,30537911733017,40848,41579,3,121900
Master Card,Bank of America,5117518005612560,41852,47331,18,180400
Discover,Discover,6011160616127160,41944,44866,18,160200
Japan Credit Bureau,JCB,3574359215038070,42583,44774,6,40500
Japan Credit Bureau,JCB,3548651427820350,42948,48061,7,97800
Diners Club International,Diners Club,30199379144458,42156,43252,7,155500
Japan Credit Bureau,JCB,3567201230035790,40299,41030,14,108400
Master Card,Chase,5326741552849100,39173,40269,18,137600
American Express,American Express,372461194984310,39783,44166,4,70900
Japan Credit Bureau,JCB,3569234480144610,39722,43374,11,84300
Visa,Citibank,4685545094052690,40695,41791,9,173400
Diners Club International,Diners Club,30579409375810,42767,44958,10,116300
Visa,USAA,4155906048059670,43009,44105,28,181000
Master Card,Bank of America,5159760118178230,39326,43344,12,60400
Master Card,Chase,5345466164620570,40725,42186,25,119800
Visa,Citibank,4686867162443900,41883,47362,19,56900
Diners Club International,Diners Club,30424556373427,41883,48092,21,15400
Master Card,Chase,5232826950941300,42856,49065,28,180600
Master Card,Chase,5391200250643510,40422,46631,22,175100
Discover,Discover,6011264609986490,41275,43101,1,152200
Discover,Discover,6484957543760370,41791,47635,12,194200
Discover,Discover,6011252327504580,41791,45078,8,78400
Discover,Discover,6011199009522660,42948,47331,19,68600
Discover,Discover,6011480239875390,42826,43556,5,163000
American Express,American Express,342674710084541,41306,43862,23,33100
Visa,Citibank,4062856311251220,41974,44166,12,103500
Visa,Chase,4198468696502470,39508,44986,28,43600
American Express,American Express,349126686662043,40787,41883,19,116600
Visa,Chase,4062617998487220,42461,45383,8,187000
Master Card,Bank of America,5392912102743800,42248,49188,8,76000
Master Card,Bank of America,5237735557386910,41730,42461,17,18200
Japan Credit Bureau,JCB,3556548446495920,41275,42736,14,60600
Diners Club International,Diners Club,30065068773339,42979,44440,26,112900
Japan Credit Bureau,JCB,3573575568875670,40725,41456,26,189800
Diners Club International,Diners Club,30484392667648,42979,49553,3,157000
American Express,Bank of America,372735850323644,41334,48639,12,67500
American Express,American Express,370672532243696,42826,47574,15,87300
Discover,Discover,6011340371575220,41122,45139,20,40000
Japan Credit Bureau,JCB,3540497197351890,42948,46235,8,164000
Visa,PNC,4478685327260760,40848,43405,15,187300
Japan Credit Bureau,JCB,3553817010578910,42430,45717,5,99300
Diners Club International,Diners Club,30091523425752,42675,48519,12,146500
Master Card,USAA,5269335588045770,39630,42917,27,31900
Diners Club International,Diners Club,30951000135366,41214,43040,15,13100
Master Card,Citibank,5443425704658930,39083,46023,11,190800
American Express,American Express,340157908654228,39295,40391,28,197300
Discover,Discover,6225402522563020,42248,48092,7,45500
Visa,Chase,4301859863149150,39326,40787,26,96700
Japan Credit Bureau,JCB,3574701748963760,40422,45536,19,193000
Master Card,Bank of America,5286468894472420,39508,44621,22,146500
American Express,U.S. Bancorp,343373101679667,39965,42156,28,121400
Master Card,USAA,5494768135564570,43009,45200,21,59300
Diners Club International,Diners Club,30087287099254,41944,46327,27,12400
Discover,Discover,6222871759771050,41030,46508,12,181600
Discover,Discover,6011212745348060,40391,44044,15,147800
Master Card,Chase,5492258782520990,39661,40756,20,102100
Japan Credit Bureau,JCB,3561556778232370,39083,45292,2,77500
Discover,Discover,6011799180565400,41395,47604,21,38700
Discover,Discover,6011434248146450,41944,44501,22,65800
Visa,Bank of America,4853937763079050,40909,48214,21,40500
Discover,Discover,6473253521471680,40575,45689,2,109400
Discover,Discover,6011002715585450,42644,46661,22,199900
Japan Credit Bureau,JCB,3562411656048750,40210,43862,4,78500
American Express,USAA,341242439123965,42644,46661,26,39300
Japan Credit Bureau,JCB,3539941563320440,41334,45717,9,50200
Master Card,Citibank,5132115576837290,41153,47727,8,25300
Visa,Citibank,4587682006331110,40118,44136,13,35100
American Express,American Express,379961859457828,40634,45017,11,29000
Diners Club International,Diners Club,30102420166330,39722,43009,22,35000
Master Card,Capital One,5333332689871810,42917,46204,13,197900
Japan Credit Bureau,JCB,3574105817964120,40756,45139,3,180000
Discover,Discover,6011322856894980,42156,44348,7,108200
American Express,American Express,348664132165246,41153,46266,26,77900
Master Card,Chase,5282116864167270,39630,45474,2,159500
Visa,Chase,4939562024292390,41640,45658,26,142100
Japan Credit Bureau,JCB,3582468314194380,41275,43466,13,27300
Diners Club International,Diners Club,30005030140985,40817,47392,17,138000
American Express,Bank of America,377533393389528,39083,41275,11,95000
Master Card,Bank of America,5469564913136320,41821,48761,3,35200
Master Card,U.S. Bancorp,5480641199490770,39995,46935,26,195300
Japan Credit Bureau,JCB,3550609888347150,39934,41030,21,116600
Diners Club International,Diners Club,36271154049980,41791,44348,20,118900
Diners Club International,Diners Club,30543558564491,42887,44348,7,150300
Japan Credit Bureau,JCB,3538915316111750,42826,43191,25,50900
Discover,Discover,6011686846996910,42856,47969,7,151400
Visa,Chase,4527321683005670,40026,45139,27,45100
Diners Club International,Diners Club,30417269859393,41730,44287,12,79900
Diners Club International,Diners Club,30437445713090,42491,49065,11,25600
Master Card,Chase,5210332915021690,41671,48245,8,20700
Japan Credit Bureau,JCB,3577408567434680,42401,49706,14,159900
Discover,Discover,6011259381673940,40725,46935,28,108700
Japan Credit Bureau,JCB,3583534051617880,40087,43009,11,11400
Diners Club International,Diners Club,38868851506200,40210,42401,22,136400
Discover,Discover,6011723786701630,40664,41760,15,45200
Discover,Discover,6011058920017110,41913,43739,24,121200
Visa,Chase,4022577365238940,39448,39814,24,138900
American Express,American Express,349944904001319,41183,48488,9,20900
Master Card,Bank of America,5231508268761800,42522,46905,17,161600
Visa,Chase,4842911414053330,39114,44958,6,99000
Discover,Discover,6442396180296930,39845,43497,24,42000
Visa,Chase,4708814443309510,41883,46266,7,107300
American Express,American Express,349004068067174,41640,46753,6,42200
Visa,Chase,4954966223769450,41671,42767,22,120600
Discover,Discover,6509523879148360,42644,48488,12,25300
American Express,American Express,374570705350742,40483,47423,21,119800
Visa,U.S. Bancorp,4703812698381620,41275,48580,22,167100
Visa,Cabela’s WFB,4267732495143920,41487,42583,2,103200
Discover,Discover,6011409042555200,40603,42430,9,191200
Diners Club International,Diners Club,30167258847327,39722,41548,13,110600
American Express,American Express,375099225331627,39539,41365,15,118500
American Express,American Express,374697364852765,41244,48183,13,115500
Discover,Discover,6011636121175710,42156,43983,3,137600
Japan Credit Bureau,JCB,3555169886935730,42767,47150,13,42900
Visa,Chase,4208645619271630,39753,44136,17,71700
Diners Club International,Diners Club,30417578804148,41306,48611,16,192200
Discover,Discover,6011151780253230,39203,43221,16,98800
Master Card,Wells Fargo,5424324021454260,40725,46204,8,146200
Visa,USAA,4078639920646940,41730,42095,5,34600
Master Card,Chase,5245546428178960,39692,41883,18,164000
Diners Club International,Diners Club,36942749156254,41821,45108,13,42100
Visa,Chase,4295497861070470,39142,40238,16,103500
American Express,U.S. Bancorp,340890861232083,40299,46508,27,142800
American Express,USAA,346742141304113,42064,46447,16,134800
Master Card,Capital One,5318084264801080,41183,45200,18,66300
Diners Club International,Diners Club,30287075775517,40969,47908,27,166900
Master Card,Chase,5134633200135470,42217,48792,28,161800
Diners Club International,Diners Club,30532246456079,42614,44440,8,152500
Master Card,Capital One,5233928905343850,42675,47058,1,118400
Master Card,USAA,5326213544229280,41791,44713,15,129600
Diners Club International,Diners Club,30411247364451,42095,46478,24,144600
Discover,Discover,6594004158514710,39264,42552,19,102700
Japan Credit Bureau,JCB,3534134956843800,41791,48731,17,41900
American Express,Bank of America,348529897602941,43040,44501,15,162500
Discover,Discover,6011496119417490,40848,44136,20,176000
Master Card,GE Capital,5212394642199210,40422,45536,14,137200
Japan Credit Bureau,JCB,3565726185434060,39995,43282,15,29300
American Express,American Express,372906469404907,40179,43466,19,125800
Master Card,Bank of America,5361374913450100,42583,45870,3,105000
Visa,Bank of America,4248406114679680,42156,45078,19,163500
Discover,Discover,6011367334520020,41579,46692,16,192800
Discover,Discover,6011116025105160,42948,50253,1,139800
American Express,Bank of America,376269921471956,42887,46905,9,54100
Discover,Discover,6011756420545890,41640,42736,3,106300
Diners Club International,Diners Club,39244371190884,39234,45444,2,153700
Diners Club International,Diners Club,30363018260394,39965,46905,20,131100
Diners Club International,Diners Club,30399843541376,41244,43435,3,12000
American Express,American Express,371721762281246,40299,47604,2,147100
Master Card,Citibank,5227401018179290,42705,43070,4,27600
American Express,American Express,341317664429442,42705,49644,9,35400
Discover,Discover,6441276998460540,42036,45689,7,63300
Discover,Discover,6011301277177880,39783,41974,1,138400
Diners Club International,Diners Club,30021368540142,41671,47880,14,93100
American Express,U.S. Bancorp,376326814309691,40513,42705,7,139600
American Express,USAA,349587852150552,42856,48700,26,29700
American Express,American Express,376074485292750,39356,42644,10,79400
Diners Club International,Diners Club,39687937654613,40787,44075,1,139400
Discover,Discover,6011691187971300,39753,43040,24,170600
Diners Club International,Diners Club,30336156814206,40969,41699,14,58100
American Express,American Express,378565610232833,40391,46600,26,174300
Master Card,USAA,5462834079828330,41122,47696,3,33600
Master Card,Chase,5191867893729450,41518,41883,2,121800
American Express,American Express,371373455141871,42675,43405,2,102600
American Express,American Express,343798945199482,40057,45536,20,143800
Diners Club International,Diners Club,30462394294892,40848,45962,28,131200
American Express,American Express,344084381479830,41456,46204,17,171400
American Express,American Express,348623687043950,39234,43983,26,22700
Japan Credit Bureau,JCB,3548350759361610,39661,40391,27,19100
Diners Club International,Diners Club,30334673732340,39326,43709,9,136900
Diners Club International,Diners Club,39937834108662,39142,43891,3,110000
Visa,Cabela’s WFB,4918685112805070,40452,41183,12,11700
Master Card,U.S. Bancorp,5133940187254950,39448,40909,25,67700
Master Card,Chase,5423044328873720,40087,44835,2,152800
Diners Club International,Diners Club,36800841607345,41030,46508,15,156800
Diners Club International,Diners Club,30150377840365,41183,43009,18,120600
Japan Credit Bureau,JCB,3558624758095830,42095,47939,19,73800
American Express,American Express,341261332403795,39783,45627,22,76000
Master Card,GE Capital,5322224828583280,40452,41183,23,108800
Visa,Chase,4894023112440500,41183,47027,22,126400
Discover,Discover,6011352552085810,39630,40360,12,54500
Master Card,Bank of America,5443114241999570,41306,44228,19,181200
Visa,Chase,4625564486120700,39995,42186,13,52500
Master Card,Chase,5452018091234930,39264,41821,23,126900
Master Card,Capital One,5240215885889090,40269,41365,10,168700
American Express,American Express,348401999056451,40817,43739,2,20600
Master Card,Citibank,5363045587351040,41760,45047,2,141700
Diners Club International,Diners Club,30458560876934,39661,45505,13,51700
Visa,Chase,4221491731438800,39569,44682,25,51200
Master Card,Chase,5249997753980980,39934,43221,23,102100
Japan Credit Bureau,JCB,3553328686952670,42370,44562,20,158700
Discover,Discover,6470106302080230,39783,44531,13,53400
Japan Credit Bureau,JCB,3584786601747570,41944,45597,13,184900
Japan Credit Bureau,JCB,3566537575039140,40118,44501,2,135200
Diners Club International,Diners Club,30447503347665,41091,42552,22,58900
Diners Club International,Diners Club,39654560485459,40026,45139,10,13500
Discover,Discover,6011745566333150,42005,43466,6,25500
American Express,American Express,371572100694784,40210,42401,1,67400
American Express,American Express,372644921454463,40969,42795,11,198100
Visa,Bank of America,4018569635418780,40634,42461,18,162200
Diners Club International,Diners Club,30469044421262,39295,44044,19,16400
Discover,Discover,6227029790943690,42948,45870,3,188100
Discover,Discover,6011902977645940,42401,48976,21,98100
Discover,Discover,6011830273453120,39845,43862,25,22200
Visa,U.S. Bancorp,4399581348241280,41671,46784,4,154100
Japan Credit Bureau,JCB,3533327882583490,42339,44896,2,175600
Visa,Chase,4949985261382040,42675,45962,28,46400
Japan Credit Bureau,JCB,3568220544991940,40787,45536,28,151900
American Express,American Express,341016775952363,41671,42036,21,119300
Visa,Citibank,4420583121828840,41974,47453,20,52600
Visa,Capital One,4185685247321850,41487,48427,11,160400
Discover,Discover,6011784352526060,41883,45901,8,88900
Master Card,U.S. Bancorp,5210319191796240,39539,42826,14,144500
American Express,American Express,374931596766034,42309,44501,6,62600
Master Card,USAA,5436316217012000,40452,47757,6,124500
Visa,Wells Fargo,4409051376496400,40878,43800,5,198300
Japan Credit Bureau,JCB,3580955119216930,41852,46600,24,102600
Master Card,Bank of America,5147113013634820,40179,46753,15,80000
Japan Credit Bureau,JCB,3575035667541310,40664,44317,15,154800
Japan Credit Bureau,JCB,3585410558016410,39783,43800,17,33800
Discover,Discover,6011801834384130,41395,47604,20,153300
Japan Credit Bureau,JCB,3538589249381750,39722,43739,19,190800
Japan Credit Bureau,JCB,3560982612063110,41091,47300,15,199700
Japan Credit Bureau,JCB,3528334588656120,41426,44713,15,48600
American Express,American Express,378040045251626,41426,47270,18,26700
Visa,Chase,4074789209887450,40269,42826,28,137000
American Express,American Express,377882607602691,43040,46327,18,72400
Japan Credit Bureau,JCB,3557664808373300,40817,47392,21,125000
Japan Credit Bureau,JCB,3535470371655350,42248,49188,27,66900
Discover,Discover,6011230324973080,41821,45474,15,72300
Visa,Chase,4620184000202110,42795,46813,6,107400
Visa,Citibank,4232337301354500,40878,42339,27,185700
Japan Credit Bureau,JCB,3571486291437050,40360,46569,7,132600
Diners Club International,Diners Club,30584257466885,40664,43586,26,115300
Discover,Discover,6011735094455340,39873,40238,19,10300
Japan Credit Bureau,JCB,3535306244815600,40664,46508,7,138800
Japan Credit Bureau,JCB,3529870497401390,39539,40269,28,156300
Master Card,Chase,5488310280781780,41760,45413,10,196700
Visa,Cabela’s WFB,4002160651898820,39356,44835,15,13300
Discover,Discover,6011437288308330,40179,45292,4,132000
Japan Credit Bureau,JCB,3550776732304500,42917,43647,26,161200
Diners Club International,Diners Club,30209671060102,39142,44256,27,70900
American Express,USAA,371859524637741,42156,43617,17,76900
Master Card,GE Capital,5245113799931100,41426,46174,27,61200
Japan Credit Bureau,JCB,3565692709001040,42217,46966,7,191600
Visa,U.S. Bancorp,4929928831859210,40391,44044,5,100300
Japan Credit Bureau,JCB,3539389192600710,39539,45383,9,189100
Diners Club International,Diners Club,30114905682046,40422,41883,13,197000
Diners Club International,Diners Club,30544896076172,39873,40603,23,98200
American Express,American Express,379938347125407,41852,48792,15,115700
Japan Credit Bureau,JCB,3543390296201580,39114,43132,14,157300
Discover,Discover,6505812120580590,40299,42491,13,176100
Master Card,Capital One,5350326505497980,40969,42795,15,74300
Diners Club International,Diners Club,30154886061703,43070,50010,12,199500
Master Card,Citibank,5132110273971360,41334,43160,15,98100
Visa,Bank of America,4173577591264560,40360,41821,2,168600
Diners Club International,Diners Club,30237077730366,41487,47331,16,29900
Japan Credit Bureau,JCB,3571322932084220,39448,43466,15,74200
Visa,Capital One,4737540037380890,40725,41091,14,122300
Diners Club International,Diners Club,38914191301314,41275,44927,20,115900
Discover,Discover,6011756287193420,41395,46508,15,94100
Master Card,USAA,5413096108784870,39934,42491,9,56000
Discover,Discover,6442455651813910,42856,47969,12,150000
Diners Club International,Diners Club,36291761197857,42614,44805,15,38000
Japan Credit Bureau,JCB,3586407223902800,41426,46539,26,107900
Visa,Bank of America,4088593414932050,42401,43497,9,185800
Master Card,Barclays,5110155034239920,39722,44105,9,94400
Visa,Chase,4200597673737640,40330,43983,18,101200
Visa,Chase,4833625674558380,41122,43678,19,96500
Japan Credit Bureau,JCB,3568335441804770,41365,43922,16,91600
Discover,Discover,6011044166685440,43009,45931,21,46300
Discover,Discover,6011979423811350,42675,45962,2,45100
Japan Credit Bureau,JCB,3557406502011000,41821,45108,24,158600
Japan Credit Bureau,JCB,3556040059352080,39326,44440,24,118700
Visa,Bank of America,4322357551599410,42583,48427,21,44200
Japan Credit Bureau,JCB,3531398997099010,42064,47543,3,186400
Diners Club International,Diners Club,30957983822391,42736,47119,8,171900
Discover,Discover,6225900625486920,42614,44075,19,91900
Diners Club International,Diners Club,30401734321718,42491,45047,1,89100
Discover,Discover,6011619482686560,41883,45901,10,31400
Visa,First National,4507654613533630,41426,43252,24,178100
Visa,Citibank,4275424185323800,39142,39873,17,176800
Discover,Discover,6011621000397660,39753,46692,23,105000
Diners Club International,Diners Club,30105157907636,42278,46661,12,82800
Japan Credit Bureau,JCB,3579453184096300,41760,48335,6,112100
Master Card,Chase,5186201459812910,39479,46419,17,48600
Visa,Barclays,4958119484672240,40087,40817,21,150900
American Express,American Express,372135418192211,41487,47331,1,72400
Master Card,Chase,5360100450202130,39326,39692,14,194300
Diners Club International,Diners Club,30252709668033,41579,44136,18,24200
Japan Credit Bureau,JCB,3572551284792050,39904,45748,9,99800
Japan Credit Bureau,JCB,3582723304264260,40330,44348,11,125300
Japan Credit Bureau,JCB,3566044355848800,39814,44927,24,106000
American Express,American Express,345987231029416,41518,46631,20,68700
American Express,American Express,343429530941902,40360,44743,12,85700
